Institution,Year,Count
Univ. of Alabama Museums,2012,6
Univ. of Alaska,1999,7
Univ. of Alaska Museum of the North,1994,9
Univ. of Arizona,2004,23
Univ. of Arkansas Museum,1996,16
Univ. of California,1993,109
Univ. of Colorado Museum,2006,29
Univ. of Connecticut,2020,2
Univ. of Denver,2000,35
Univ. of Florida,2000,2
Univ. of Georgia,2019,1
Univ. of Hawai'i at Hilo,2004,4
Univ. of Idaho,2003,4
Univ. of Illinois,1999,3
Univ. of Iowa,1996,29
Univ. of Kansas,1996,2
Univ. of Kentucky,2023,1
Univ. of Louisville,2019,1
Univ. of Maine,1998,6
Univ. of Massachusetts,2004,13
Univ. of Memphis,2019,3
Univ. of Michigan Museum of Anthropology,1997,38
Univ. of Minnesota,2023,1
Univ. of Missouri,1998,9
Univ. of Montana,2003,5
Univ. of Nebraska State Museum,1995,17
Univ. of Nevada,1997,6
Univ. of New Hampshire,2022,1
Univ. of New Mexico,1998,6
Univ. of North Carolina at Chapel Hill,1999,4
Univ. of Northern Colorado,2023,1
Univ. of Notre Dame,2014,1
Univ. of Oklahoma,1996,20
Univ. of Oregon Museum of Natural and Cultural History,1993,31
Univ. of Pennsylvania Museum of Archaeology and Anthropology,1993,37
Univ. of Puget Sound,2006,15
Univ. of San Diego,2018,2
Univ. of South Alabama,2013,3
Univ. of South Carolina,2023,2
Univ. of South Florida,2021,4
Univ. of Southern Mississippi,2014,4
Univ. of Tennessee,1999,12
Univ. of Texas at Austin,2004,11
Univ. of Texas at San Antonio,2013,2
Univ. of Toledo,2011,1
Univ. of Tulsa,2017,2
Univ. of Washington,1996,73
Univ. of West Georgia,2023,1
Univ. of Wisconsin,2008,30
Univ. of Wyoming,1999,12
Univ. of the Pacific,2005,4
Utah Dept. of Natural Resources,1995,3
Utah State Univ.,2011,1
Valentine Museum,2021,2
Vanderbilt Univ.,2017,1
Vassar College,2022,2
Virginia Dept. of Conservation and Recreation,2009,1
Virginia Dept. of Historic Resources,1997,2
Virginia Living Museum,2020,1
Washington State Dept of Natural Resources,2011,2
Washington State Historical Society,1996,3
Washington State Parks and Recreation Commission,2007,8
Washington State University,2007,16
Wayne State Univ.,2013,2
Wesleyan Univ.,2012,1
West Virginia Division of Culture and History,2018,1
Western Kentucky Univ.,2019,1
Western Michigan Univ.,2010,8
Western Washington University,2022,1
Whitman College,2008,6
Wickliffe Mounds State Historic Site,2022,1
Willamette Univ.,1999,2
Wisconsin Historical Society,1998,68
Wistar Institute,2007,2
Wistariahurst Museum,2020,1
Yale Univ.,1994,21
